epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2635.13,0.41612,0.44499,0.96309,0.94712,0.94964,0.9654,0.90333,0.34481,0.40638,0.71128,0.000643101,0.000643101,0.000643101
43,2697.32,0.42044,0.44804,0.96652,0.96295,0.93274,0.96232,0.90655,0.32828,0.43177,0.6911,0.000628101,0.000628101,0.000628101
44,2760.46,0.41951,0.44352,0.96512,0.94496,0.94736,0.96572,0.9029,0.36484,0.40867,0.71381,0.000612981,0.000612981,0.000612981
45,2823.04,0.41525,0.43838,0.96291,0.94636,0.93583,0.96127,0.9024,0.34077,0.41914,0.70939,0.000597754,0.000597754,0.000597754
46,2885.8,0.41459,0.43803,0.95957,0.96027,0.94081,0.96668,0.90915,0.32994,0.38347,0.69444,0.000582435,0.000582435,0.000582435
47,2949.58,0.40902,0.43448,0.96043,0.96289,0.92513,0.9645,0.90794,0.33165,0.40211,0.6978,0.00056704,0.00056704,0.00056704
48,3013.02,0.40677,0.43393,0.95964,0.94712,0.91916,0.96278,0.91684,0.32128,0.38066,0.68866,0.000551584,0.000551584,0.000551584
49,3077.45,0.40891,0.43578,0.95941,0.97576,0.92409,0.96659,0.91964,0.32857,0.37536,0.69998,0.000536081,0.000536081,0.000536081
50,3141.2,0.40377,0.42915,0.96076,0.95163,0.94031,0.96468,0.90851,0.32894,0.37503,0.70329,0.000520548,0.000520548,0.000520548
51,3204.03,0.39535,0.42329,0.95069,0.95867,0.93128,0.96701,0.91241,0.32517,0.37553,0.69581,0.000505,0.000505,0.000505
52,3267.78,0.39959,0.42206,0.95587,0.94881,0.94441,0.96443,0.9118,0.32511,0.38148,0.70227,0.000489452,0.000489452,0.000489452
53,3329.96,0.39802,0.42392,0.95421,0.96229,0.92691,0.9647,0.90753,0.31505,0.38226,0.69258,0.000473919,0.000473919,0.000473919
54,3391.72,0.39644,0.42077,0.95346,0.95483,0.93449,0.96716,0.91586,0.32086,0.36032,0.69497,0.000458416,0.000458416,0.000458416
55,3452.68,0.40188,0.426,0.95848,0.95549,0.9455,0.96701,0.9094,0.32204,0.37082,0.70214,0.00044296,0.00044296,0.00044296
56,3514.22,0.39053,0.41251,0.95128,0.96567,0.93025,0.9657,0.92077,0.29958,0.3504,0.67946,0.000427565,0.000427565,0.000427565
57,3573.9,0.38506,0.40073,0.94772,0.95641,0.9466,0.9668,0.92202,0.30703,0.35973,0.68177,0.000412246,0.000412246,0.000412246
58,3634.33,0.38927,0.41515,0.9521,0.96302,0.92847,0.96486,0.92202,0.29679,0.37812,0.67653,0.000397019,0.000397019,0.000397019
59,3694.23,0.38971,0.40757,0.94937,0.96844,0.93731,0.96659,0.92097,0.29694,0.35624,0.67659,0.000381899,0.000381899,0.000381899
60,3753.9,0.38226,0.40251,0.94842,0.96217,0.94369,0.96735,0.92012,0.29928,0.34331,0.67167,0.000366899,0.000366899,0.000366899
61,3813.37,0.3788,0.39959,0.9429,0.95573,0.93978,0.96508,0.92208,0.29548,0.34501,0.67428,0.000352037,0.000352037,0.000352037
62,3874.83,0.38261,0.40295,0.94589,0.96923,0.94303,0.96451,0.91496,0.31142,0.36004,0.68628,0.000337325,0.000337325,0.000337325
63,3937.08,0.38607,0.40494,0.94751,0.9366,0.94492,0.96441,0.91327,0.30068,0.35768,0.68083,0.000322778,0.000322778,0.000322778
64,3998.38,0.37678,0.39975,0.94507,0.97045,0.92132,0.9639,0.9186,0.28453,0.35057,0.66976,0.000308412,0.000308412,0.000308412
65,4061.3,0.37716,0.39712,0.9434,0.96485,0.93718,0.96623,0.92186,0.28352,0.33889,0.66885,0.000294239,0.000294239,0.000294239
66,4121.46,0.38197,0.3985,0.9489,0.95231,0.94286,0.96522,0.92405,0.2914,0.35339,0.66876,0.000280275,0.000280275,0.000280275
67,4182.32,0.37535,0.38945,0.94537,0.94806,0.94089,0.96653,0.9238,0.27752,0.33051,0.66419,0.000266532,0.000266532,0.000266532
68,4244.36,0.37081,0.38832,0.94595,0.96162,0.94483,0.96851,0.92715,0.28548,0.33711,0.67865,0.000253024,0.000253024,0.000253024
69,4305.08,0.37388,0.39382,0.94539,0.9637,0.94188,0.96803,0.9201,0.27882,0.3495,0.66742,0.000239766,0.000239766,0.000239766
70,4365.54,0.37061,0.3874,0.94219,0.96027,0.9486,0.9684,0.92267,0.27126,0.33204,0.66148,0.000226769,0.000226769,0.000226769
71,4426.38,0.36488,0.38147,0.93596,0.97839,0.91974,0.96636,0.91932,0.27674,0.33972,0.6701,0.000214046,0.000214046,0.000214046
72,4486.51,0.36519,0.39014,0.93997,0.95995,0.94852,0.96888,0.92757,0.26368,0.32255,0.65341,0.000201611,0.000201611,0.000201611
73,4548.08,0.36516,0.38047,0.9375,0.95784,0.95082,0.96814,0.92813,0.26707,0.32415,0.65403,0.000189475,0.000189475,0.000189475
74,4609.15,0.35947,0.37724,0.93547,0.96313,0.93395,0.96819,0.92633,0.26703,0.3219,0.65524,0.000177651,0.000177651,0.000177651
75,4669.28,0.36058,0.37728,0.93758,0.97575,0.92313,0.96913,0.93023,0.25817,0.32051,0.65255,0.000166149,0.000166149,0.000166149
76,4730.57,0.36296,0.38088,0.93787,0.9497,0.94167,0.96755,0.92925,0.26278,0.33522,0.65265,0.000154982,0.000154982,0.000154982
77,4790.56,0.35772,0.37826,0.93524,0.95979,0.93766,0.96806,0.92774,0.25881,0.33496,0.65365,0.000144161,0.000144161,0.000144161
